Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Application of Machine Learning in Postural Control Kinematics for the Diagnosis of Alzheimer's Disease.","/pubmed/28074090","Costa L, Gago MF, Yelshyna D, Ferreira J, David Silva H, Rocha L, Sousa N, Bicho E.","Comput Intell Neurosci. 2016;2016:3891253. doi: 10.1155/2016/3891253. Epub 2016 Dec 18.","Comput Intell Neurosci.  2016","PubMed","citation","PMID:28074090 | PMCID:PMC5203925","pubmed","28074090","create date:2017/01/12 | first author:Costa L",
"Diagnosis of Alzheimer's Disease Using View-Aligned Hypergraph Learning with Incomplete Multi-modality Data.","/pubmed/28066842","Liu M, Zhang J, Yap PT, Shen D.","Med Image Comput Comput Assist Interv. 2016 Oct;9900:308-316. doi: 10.1007/978-3-319-46720-7_36. Epub 2016 Oct 2.","Med Image Comput Comput Assist Interv.  2016","PubMed","citation","PMID:28066842 | PMCID:PMC5207479","pubmed","28066842","create date:2017/01/10 | first author:Liu M",
"Learning-based 3T brain MRI segmentation with guidance from 7T MRI labeling.","/pubmed/28054724","Deng M, Yu R, Wang L, Shi F, Yap PT, Shen D; Alzheimer's Disease Neuroimaging Initiative..","Med Phys. 2016 Dec;43(12):6588-6597. doi: 10.1118/1.4967487.","Med Phys.  2016","PubMed","citation","PMID:28054724","pubmed","28054724","create date:2017/01/06 | first author:Deng M",
"Heterogeneity of neuroanatomical patterns in prodromal Alzheimer's disease: links to cognition, progression and biomarkers.","/pubmed/28003242","Dong A, Toledo JB, Honnorat N, Doshi J, Varol E, Sotiras A, Wolk D, Trojanowski JQ, Davatzikos C; Alzheimer’s Disease Neuroimaging Initiative..","Brain. 2017 Mar 1;140(3):735-747. doi: 10.1093/brain/aww319.","Brain.  2017","PubMed","citation","PMID:28003242 | PMCID:PMC5837514","pubmed","28003242","create date:2016/12/23 | first author:Dong A",
"Reproducible segmentation of white matter hyperintensities using a new statistical definition.","/pubmed/27943055","Damangir S, Westman E, Simmons A, Vrenken H, Wahlund LO, Spulber G.","MAGMA. 2017 Jun;30(3):227-237. doi: 10.1007/s10334-016-0599-3. Epub 2016 Dec 9.","MAGMA.  2017","PubMed","citation","PMID:27943055 | PMCID:PMC5440501","pubmed","27943055","create date:2016/12/13 | first author:Damangir S",
"Applying Multiple Data Collection Tools to Quantify Human Papillomavirus Vaccine Communication on Twitter.","/pubmed/27919863","Massey PM, Leader A, Yom-Tov E, Budenz A, Fisher K, Klassen AC.","J Med Internet Res. 2016 Dec 5;18(12):e318.","J Med Internet Res.  2016","PubMed","citation","PMID:27919863 | PMCID:PMC5168526","pubmed","27919863","create date:2016/12/07 | first author:Massey PM",
"Classifying Cognitive Profiles Using Machine Learning with Privileged Information in Mild Cognitive Impairment.","/pubmed/27909405","Alahmadi HH, Shen Y, Fouad S, Luft CD, Bentham P, Kourtzi Z, Tino P.","Front Comput Neurosci. 2016 Nov 17;10:117. eCollection 2016.","Front Comput Neurosci.  2016","PubMed","citation","PMID:27909405 | PMCID:PMC5112260","pubmed","27909405","create date:2016/12/03 | first author:Alahmadi HH",
"Learning-based 3T brain MRI segmentation with guidance from 7T MRI labeling.","/pubmed/27908163","Deng M, Yu R, Wang L, Shi F, Yap PT, Shen D; Alzheimer’s Disease Neuroimaging Initiative..","Med Phys. 2016 Dec;43(12):6588.","Med Phys.  2016","PubMed","citation","PMID:27908163 | PMCID:PMC5123995","pubmed","27908163","create date:2016/12/03 | first author:Deng M",
"Predictors of care home and hospital admissions and their costs for older people with Alzheimer's disease: findings from a large London case register.","/pubmed/27864252","Knapp M, Chua KC, Broadbent M, Chang CK, Fernandez JL, Milea D, Romeo R, Lovestone S, Spencer M, Thompson G, Stewart R, Hayes RD.","BMJ Open. 2016 Nov 18;6(11):e013591. doi: 10.1136/bmjopen-2016-013591.","BMJ Open.  2016","PubMed","citation","PMID:27864252 | PMCID:PMC5128896","pubmed","27864252","create date:2016/11/20 | first author:Knapp M",
"Bayesian model reveals latent atrophy factors with dissociable cognitive trajectories in Alzheimer's disease.","/pubmed/27702899","Zhang X, Mormino EC, Sun N, Sperling RA, Sabuncu MR, Yeo BT; Alzheimer’s Disease Neuroimaging Initiative..","Proc Natl Acad Sci U S A. 2016 Oct 18;113(42):E6535-E6544. Epub 2016 Oct 4.","Proc Natl Acad Sci U S A.  2016","PubMed","citation","PMID:27702899 | PMCID:PMC5081632","pubmed","27702899","create date:2016/10/30 | first author:Zhang X",
"Association of blood lipids with Alzheimer's disease: A comprehensive lipidomics analysis.","/pubmed/27693183","Proitsi P, Kim M, Whiley L, Simmons A, Sattlecker M, Velayudhan L, Lupton MK, Soininen H, Kloszewska I, Mecocci P, Tsolaki M, Vellas B, Lovestone S, Powell JF, Dobson RJ, Legido-Quigley C.","Alzheimers Dement. 2017 Feb;13(2):140-151. doi: 10.1016/j.jalz.2016.08.003. Epub 2016 Sep 28.","Alzheimers Dement.  2017","PubMed","citation","PMID:27693183","pubmed","27693183","create date:2016/10/30 | first author:Proitsi P",
"RGS2 expression predicts amyloid-β sensitivity, MCI and Alzheimer's disease: genome-wide transcriptomic profiling and bioinformatics data mining.","/pubmed/27701409","Hadar A, Milanesi E, Squassina A, Niola P, Chillotti C, Pasmanik-Chor M, Yaron O, Martásek P, Rehavi M, Weissglas-Volkov D, Shomron N, Gozes I, Gurwitz D.","Transl Psychiatry. 2016 Oct 4;6(10):e909. doi: 10.1038/tp.2016.179. Erratum in: Transl Psychiatry. 2017 Feb 14;7(2):e1035. ","Transl Psychiatry.  2016","PubMed","citation","PMID:27701409 | PMCID:PMC5315547","pubmed","27701409","create date:2016/10/05 | first author:Hadar A",
"Prediction of Incipient Alzheimer's Disease Dementia in Patients with Mild Cognitive Impairment.","/pubmed/27662309","Ardekani BA, Bermudez E, Mubeen AM, Bachman AH; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2017;55(1):269-281.","J Alzheimers Dis.  2017","PubMed","citation","PMID:27662309","pubmed","27662309","create date:2016/09/24 | first author:Ardekani BA",
"The use of natural language processing on narrative medication schedules to compute average weekly dose.","/pubmed/27633139","Lu CC, Leng J, Cannon GW, Zhou X, Egger M, South B, Burningham Z, Zeng Q, Sauer BC.","Pharmacoepidemiol Drug Saf. 2016 Dec;25(12):1414-1424. doi: 10.1002/pds.4086. Epub 2016 Sep 16.","Pharmacoepidemiol Drug Saf.  2016","PubMed","citation","PMID:27633139","pubmed","27633139","create date:2016/09/17 | first author:Lu CC",
"Role of Muscle Synergies in Real-Time Classification of Upper Limb Motions using Extreme Learning Machines.","/pubmed/27527511","Antuvan CW, Bisio F, Marini F, Yen SC, Cambria E, Masia L.","J Neuroeng Rehabil. 2016 Aug 15;13(1):76. doi: 10.1186/s12984-016-0183-0.","J Neuroeng Rehabil.  2016","PubMed","citation","PMID:27527511 | PMCID:PMC4986359","pubmed","27527511","create date:2016/08/17 | first author:Antuvan CW",
"Longitudinal clinical score prediction in Alzheimer's disease with soft-split sparse regression based random forest.","/pubmed/27500865","Huang L, Jin Y, Gao Y, Thung KH, Shen D; Alzheimer's Disease Neuroimaging Initiative..","Neurobiol Aging. 2016 Oct;46:180-91. doi: 10.1016/j.neurobiolaging.2016.07.005. Epub 2016 Jul 15.","Neurobiol Aging.  2016","PubMed","citation","PMID:27500865 | PMCID:PMC5152677","pubmed","27500865","create date:2016/08/09 | first author:Huang L",
"Ensembles of Deep Learning Architectures for the Early Diagnosis of the Alzheimer's Disease.","/pubmed/27478060","Ortiz A, Munilla J, Górriz JM, Ramírez J.","Int J Neural Syst. 2016 Nov;26(7):1650025. doi: 10.1142/S0129065716500258. Epub 2016 Apr 4.","Int J Neural Syst.  2016","PubMed","citation","PMID:27478060","pubmed","27478060","create date:2016/08/02 | first author:Ortiz A",
"Hello Harlie: Enabling Speech Monitoring Through Chat-Bot Conversations.","/pubmed/27440289","Ireland D, Atay C, Liddle J, Bradford D, Lee H, Rushin O, Mullins T, Angus D, Wiles J, McBride S, Vogel A.","Stud Health Technol Inform. 2016;227:55-60.","Stud Health Technol Inform.  2016","PubMed","citation","PMID:27440289","pubmed","27440289","create date:2016/07/22 | first author:Ireland D",
"NeuroRDF: semantic integration of highly curated data to prioritize biomarker candidates in Alzheimer's disease.","/pubmed/27392431","Iyappan A, Kawalia SB, Raschka T, Hofmann-Apitius M, Senger P.","J Biomed Semantics. 2016 Jul 8;7:45. doi: 10.1186/s13326-016-0079-8.","J Biomed Semantics.  2016","PubMed","citation","PMID:27392431 | PMCID:PMC4939021","pubmed","27392431","create date:2016/07/10 | first author:Iyappan A",
"Application of Machine Learning to Arterial Spin Labeling in Mild Cognitive Impairment and Alzheimer Disease.","/pubmed/27383395","Collij LE, Heeman F, Kuijer JP, Ossenkoppele R, Benedictus MR, Möller C, Verfaillie SC, Sanz-Arigita EJ, van Berckel BN, van der Flier WM, Scheltens P, Barkhof F, Wink AM.","Radiology. 2016 Dec;281(3):865-875. Epub 2016 Jul 6.","Radiology.  2016","PubMed","citation","PMID:27383395","pubmed","27383395","create date:2016/07/08 | first author:Collij LE",
"A Comparison of Magnetic Resonance Imaging and Neuropsychological Examination in the Diagnostic Distinction of Alzheimer's Disease and Behavioral Variant Frontotemporal Dementia.","/pubmed/27378905","Wang J, Redmond SJ, Bertoux M, Hodges JR, Hornberger M.","Front Aging Neurosci. 2016 Jun 16;8:119. doi: 10.3389/fnagi.2016.00119. eCollection 2016.","Front Aging Neurosci.  2016","PubMed","citation","PMID:27378905 | PMCID:PMC4909756","pubmed","27378905","create date:2016/07/06 | first author:Wang J",
"Classification of patients with MCI and AD from healthy controls using directed graph measures of resting-state fMRI.","/pubmed/27345822","Khazaee A, Ebrahimzadeh A, Babajani-Feremi A; Alzheimer’s Disease Neuroimaging Initiative..","Behav Brain Res. 2017 Mar 30;322(Pt B):339-350. doi: 10.1016/j.bbr.2016.06.043. Epub 2016 Jun 23.","Behav Brain Res.  2017","PubMed","citation","PMID:27345822","pubmed","27345822","create date:2016/06/28 | first author:Khazaee A",
"Joint feature-sample selection and robust diagnosis of Parkinson's disease from MRI data.","/pubmed/27296013","Adeli E, Shi F, An L, Wee CY, Wu G, Wang T, Shen D.","Neuroimage. 2016 Nov 1;141:206-219. doi: 10.1016/j.neuroimage.2016.05.054. Epub 2016 Jun 10.","Neuroimage.  2016","PubMed","citation","PMID:27296013 | PMCID:PMC5866718","pubmed","27296013","create date:2016/06/15 | first author:Adeli E",
"Domain adaptation for Alzheimer's disease diagnostics.","/pubmed/27262241","Wachinger C, Reuter M; Alzheimer's Disease Neuroimaging Initiative.; Australian Imaging Biomarkers and Lifestyle flagship study of ageing..","Neuroimage. 2016 Oct 1;139:470-479. doi: 10.1016/j.neuroimage.2016.05.053. Epub 2016 Jun 2.","Neuroimage.  2016","PubMed","citation","PMID:27262241 | PMCID:PMC4983466","pubmed","27262241","create date:2016/06/06 | first author:Wachinger C",
"Novel verbal fluency scores and structural brain imaging for prediction of cognitive outcome in mild cognitive impairment.","/pubmed/27239542","Clark DG, McLaughlin PM, Woo E, Hwang K, Hurtz S, Ramirez L, Eastman J, Dukes RM, Kapur P, DeRamus TP, Apostolova LG.","Alzheimers Dement (Amst). 2016 Feb 15;2:113-22. doi: 10.1016/j.dadm.2016.02.001. eCollection 2016.","Alzheimers Dement (Amst).  2016","PubMed","citation","PMID:27239542 | PMCID:PMC4879664","pubmed","27239542","create date:2016/05/31 | first author:Clark DG",
"Vocabulary Size in Speech May Be an Early Indicator of Cognitive Impairment.","/pubmed/27176919","Aramaki E, Shikata S, Miyabe M, Kinoshita A.","PLoS One. 2016 May 13;11(5):e0155195. doi: 10.1371/journal.pone.0155195. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27176919 | PMCID:PMC4866705","pubmed","27176919","create date:2016/05/14 | first author:Aramaki E",
"Temporally Constrained Group Sparse Learning for Longitudinal Data Analysis in Alzheimer's Disease.","/pubmed/27093313","Jie B, Liu M, Liu J, Zhang D, Shen D.","IEEE Trans Biomed Eng. 2017 Jan;64(1):238-249. doi: 10.1109/TBME.2016.2553663. Epub 2016 Apr 13.","IEEE Trans Biomed Eng.  2017","PubMed","citation","PMID:27093313 | PMCID:PMC5179317","pubmed","27093313","create date:2016/04/20 | first author:Jie B",
"Core auditory processing deficits in primary progressive aphasia.","/pubmed/27060523","Grube M, Bruffaerts R, Schaeverbeke J, Neyens V, De Weer AS, Seghers A, Bergmans B, Dries E, Griffiths TD, Vandenberghe R.","Brain. 2016 Jun;139(Pt 6):1817-29. doi: 10.1093/brain/aww067. Epub 2016 Apr 9.","Brain.  2016","PubMed","citation","PMID:27060523 | PMCID:PMC4892752","pubmed","27060523","create date:2016/04/10 | first author:Grube M",
"Learning Classification Models of Cognitive Conditions from Subtle Behaviors in the Digital Clock Drawing Test.","/pubmed/27057085","Souillard-Mandar W, Davis R, Rudin C, Au R, Libon DJ, Swenson R, Price CC, Lamar M, Penney DL.","Mach Learn. 2016 Mar;102(3):393-441. Epub 2015 Oct 20.","Mach Learn.  2016","PubMed","citation","PMID:27057085 | PMCID:PMC4821477","pubmed","27057085","create date:2016/04/09 | first author:Souillard-Mandar W",
"Single subject prediction of brain disorders in neuroimaging: Promises and pitfalls.","/pubmed/27012503","Arbabshirani MR, Plis S, Sui J, Calhoun VD.","Neuroimage. 2017 Jan 15;145(Pt B):137-165. doi: 10.1016/j.neuroimage.2016.02.079. Epub 2016 Mar 21. Review.","Neuroimage.  2017","PubMed","citation","PMID:27012503 | PMCID:PMC5031516","pubmed","27012503","create date:2016/03/26 | first author:Arbabshirani MR",
"Alzheimer's Disease Brain Areas: The Machine Learning Support for Blind Localization.","/pubmed/26971943","Vigneron V, Kodewitz A, Tome AM, Lelandais S, Lang E.","Curr Alzheimer Res. 2016;13(5):498-508.","Curr Alzheimer Res.  2016","PubMed","citation","PMID:26971943","pubmed","26971943","create date:2016/03/15 | first author:Vigneron V",
"Prediction of Impaired Performance in Trail Making Test in MCI Patients With Small Vessel Disease Using DTI Data.","/pubmed/26960231","Ciulli S, Citi L, Salvadori E, Valenti R, Poggesi A, Inzitari D, Mascalchi M, Toschi N, Pantoni L, Diciotti S.","IEEE J Biomed Health Inform. 2016 Jul;20(4):1026-33. doi: 10.1109/JBHI.2016.2537808. Epub 2016 Mar 3.","IEEE J Biomed Health Inform.  2016","PubMed","citation","PMID:26960231","pubmed","26960231","create date:2016/03/10 | first author:Ciulli S",
"MRI visual rating scales in the diagnosis of dementia: evaluation in 184 post-mortem confirmed cases.","/pubmed/26936938","Harper L, Fumagalli GG, Barkhof F, Scheltens P, O'Brien JT, Bouwman F, Burton EJ, Rohrer JD, Fox NC, Ridgway GR, Schott JM.","Brain. 2016 Apr;139(Pt 4):1211-25. doi: 10.1093/brain/aww005. Epub 2016 Mar 1.","Brain.  2016","PubMed","citation","PMID:26936938 | PMCID:PMC4806219","pubmed","26936938","create date:2016/03/05 | first author:Harper L",
"Automatic labeling of MR brain images by hierarchical learning of atlas forests.","/pubmed/26936703","Zhang L, Wang Q, Gao Y, Wu G, Shen D.","Med Phys. 2016 Mar;43(3):1175-86. doi: 10.1118/1.4941011.","Med Phys.  2016","PubMed","citation","PMID:26936703 | PMCID:PMC5148185","pubmed","26936703","create date:2016/03/05 | first author:Zhang L",
"Sequential detection of learning in cognitive diagnosis.","/pubmed/26931602","Ye S, Fellouris G, Culpepper S, Douglas J.","Br J Math Stat Psychol. 2016 May;69(2):139-58. doi: 10.1111/bmsp.12065. Epub 2016 Mar 2.","Br J Math Stat Psychol.  2016","PubMed","citation","PMID:26931602","pubmed","26931602","create date:2016/03/05 | first author:Ye S",
"White matter hyperintensities and imaging patterns of brain ageing in the general population.","/pubmed/26912649","Habes M, Erus G, Toledo JB, Zhang T, Bryan N, Launer LJ, Rosseel Y, Janowitz D, Doshi J, Van der Auwera S, von Sarnowski B, Hegenscheid K, Hosten N, Homuth G, Völzke H, Schminke U, Hoffmann W, Grabe HJ, Davatzikos C.","Brain. 2016 Apr;139(Pt 4):1164-79. doi: 10.1093/brain/aww008. Epub 2016 Feb 24.","Brain.  2016","PubMed","citation","PMID:26912649 | PMCID:PMC5006227","pubmed","26912649","create date:2016/02/26 | first author:Habes M",
"Machine-learning identifies substance-specific behavioral markers for opiate and stimulant dependence.","/pubmed/26905209","Ahn WY, Vassileva J.","Drug Alcohol Depend. 2016 Apr 1;161:247-57. doi: 10.1016/j.drugalcdep.2016.02.008. Epub 2016 Feb 15.","Drug Alcohol Depend.  2016","PubMed","citation","PMID:26905209 | PMCID:PMC4955649","pubmed","26905209","create date:2016/02/26 | first author:Ahn WY",
"CSF complement 3 and factor H are staging biomarkers in Alzheimer's disease.","/pubmed/26887322","Hu WT, Watts KD, Tailor P, Nguyen TP, Howell JC, Lee RC, Seyfried NT, Gearing M, Hales CM, Levey AI, Lah JJ, Lee EK; Alzheimer’s Disease Neuro-Imaging Initiative..","Acta Neuropathol Commun. 2016 Feb 17;4:14. doi: 10.1186/s40478-016-0277-8.","Acta Neuropathol Commun.  2016","PubMed","citation","PMID:26887322 | PMCID:PMC4758165","pubmed","26887322","create date:2016/02/19 | first author:Hu WT",
"Comparison of Feature Selection Techniques in Machine Learning for Anatomical Brain MRI in Dementia.","/pubmed/26803769","Tohka J, Moradi E, Huttunen H; Alzheimer’s Disease Neuroimaging Initiative..","Neuroinformatics. 2016 Jul;14(3):279-96. doi: 10.1007/s12021-015-9292-3.","Neuroinformatics.  2016","PubMed","citation","PMID:26803769","pubmed","26803769","create date:2016/01/25 | first author:Tohka J",
"State-space model with deep learning for functional dynamics estimation in resting-state fMRI.","/pubmed/26774612","Suk HI, Wee CY, Lee SW, Shen D.","Neuroimage. 2016 Apr 1;129:292-307. doi: 10.1016/j.neuroimage.2016.01.005. Epub 2016 Jan 14.","Neuroimage.  2016","PubMed","citation","PMID:26774612 | PMCID:PMC5437848","pubmed","26774612","create date:2016/01/18 | first author:Suk HI",
"Pauses During Autobiographical Discourse Reflect Episodic Memory Processes in Early Alzheimer's Disease.","/pubmed/26757034","Pistono A, Jucla M, Barbeau EJ, Saint-Aubert L, Lemesle B, Calvet B, Köpke B, Puel M, Pariente J.","J Alzheimers Dis. 2016;50(3):687-98. doi: 10.3233/JAD-150408.","J Alzheimers Dis.  2016","PubMed","citation","PMID:26757034 | PMCID:PMC4927846","pubmed","26757034","create date:2016/01/13 | first author:Pistono A",
"Relationship Induced Multi-Template Learning for Diagnosis of Alzheimer's Disease and Mild Cognitive Impairment.","/pubmed/26742127","Liu M, Zhang D, Shen D.","IEEE Trans Med Imaging. 2016 Jun;35(6):1463-74. doi: 10.1109/TMI.2016.2515021. Epub 2016 Jan 5.","IEEE Trans Med Imaging.  2016","PubMed","citation","PMID:26742127 | PMCID:PMC5572669","pubmed","26742127","create date:2016/01/08 | first author:Liu M",
"Detection of mild Alzheimer's disease and mild cognitive impairment from elderly speech: Binary discrimination using logistic regression.","/pubmed/26737554","Kato S, Homma A, Sakuma T, Nakamura M.","Conf Proc IEEE Eng Med Biol Soc. 2015 Aug;2015:5569-72. doi: 10.1109/EMBC.2015.7319654.","Conf Proc IEEE Eng Med Biol Soc.  2015","PubMed","citation","PMID:26737554","pubmed","26737554","create date:2016/01/07 | first author:Kato S",
"Multimodal MRI classification in vascular mild cognitive impairment.","/pubmed/26737240","Diciotti S, Ciulli S, Ginestroni A, Salvadori E, Poggesi A, Pantoni L, Inzitari D, Mascalchi M, Toschi N.","Conf Proc IEEE Eng Med Biol Soc. 2015 Aug;2015:4278-81. doi: 10.1109/EMBC.2015.7319340.","Conf Proc IEEE Eng Med Biol Soc.  2015","PubMed","citation","PMID:26737240","pubmed","26737240","create date:2016/01/07 | first author:Diciotti S",
"Functional Connectivity Network Fusion with Dynamic Thresholding for MCI Diagnosis.","/pubmed/28944345","Yang X, Jin Y, Chen X, Zhang H, Li G, Shen D.","Mach Learn Med Imaging. 2016;10019:246-253. doi: 10.1007/978-3-319-47157-0_30. Epub 2016 Oct 1.","Mach Learn Med Imaging.  2016","PubMed","citation","PMID:28944345 | PMCID:PMC5609704","pubmed","28944345","create date:2016/01/01 | first author:Yang X",
"Discrimination between Alzheimer's Disease and Late Onset Bipolar Disorder Using Multivariate Analysis.","/pubmed/26696883","Besga A, Gonzalez I, Echeburua E, Savio A, Ayerdi B, Chyzhyk D, Madrigal JL, Leza JC, Graña M, Gonzalez-Pinto AM.","Front Aging Neurosci. 2015 Dec 14;7:231. doi: 10.3389/fnagi.2015.00231. eCollection 2015.","Front Aging Neurosci.  2015","PubMed","citation","PMID:26696883 | PMCID:PMC4677464","pubmed","26696883","create date:2015/12/24 | first author:Besga A",
"Compensatory neural mechanisms in cognitively unimpaired Parkinson disease.","/pubmed/26696272","Poston KL, YorkWilliams S, Zhang K, Cai W, Everling D, Tayim FM, Llanes S, Menon V.","Ann Neurol. 2016 Mar;79(3):448-63. doi: 10.1002/ana.24585. Epub 2016 Feb 10.","Ann Neurol.  2016","PubMed","citation","PMID:26696272 | PMCID:PMC4789131","pubmed","26696272","create date:2015/12/24 | first author:Poston KL",
"Early detection of Alzheimer's disease using MRI hippocampal texture.","/pubmed/26686837","Sørensen L, Igel C, Liv Hansen N, Osler M, Lauritzen M, Rostrup E, Nielsen M; Alzheimer's Disease Neuroimaging Initiative and the Australian Imaging Biomarkers and Lifestyle Flagship Study of Ageing..","Hum Brain Mapp. 2016 Mar;37(3):1148-61. doi: 10.1002/hbm.23091. Epub 2015 Dec 21.","Hum Brain Mapp.  2016","PubMed","citation","PMID:26686837","pubmed","26686837","create date:2015/12/22 | first author:Sørensen L",
"BMExpert: Mining MEDLINE for Finding Experts in Biomedical Domains Based on Language Model.","/pubmed/26671801","Wang B, Chen X, Mamitsuka H, Zhu S.","IEEE/ACM Trans Comput Biol Bioinform. 2015 Nov-Dec;12(6):1286-94. doi: 10.1109/TCBB.2015.2430338.","IEEE/ACM Trans Comput Biol Bioinform.  2015","PubMed","citation","PMID:26671801","pubmed","26671801","create date:2015/12/17 | first author:Wang B",
"Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers.","/pubmed/26577521","Rhodius-Meester HF, Koikkalainen J, Mattila J, Teunissen CE, Barkhof F, Lemstra AW, Scheltens P, Lötjönen J, van der Flier WM.","J Alzheimers Dis. 2016;50(1):261-70. doi: 10.3233/JAD-150548.","J Alzheimers Dis.  2016","PubMed","citation","PMID:26577521","pubmed","26577521","create date:2015/11/19 | first author:Rhodius-Meester HF",
"Label-aligned multi-task feature learning for multimodal classification of Alzheimer's disease and mild cognitive impairment.","/pubmed/26572145","Zu C, Jie B, Liu M, Chen S, Shen D, Zhang D; Alzheimer’s Disease Neuroimaging Initiative..","Brain Imaging Behav. 2016 Dec;10(4):1148-1159.","Brain Imaging Behav.  2016","PubMed","citation","PMID:26572145 | PMCID:PMC4868803","pubmed","26572145","create date:2015/11/18 | first author:Zu C",
"Predicting 30-day Hospital Readmission with Publicly Available Administrative Database. A Conditional Logistic Regression Modeling Approach.","/pubmed/26548400","Zhu K, Lou Z, Zhou J, Ballester N, Kong N, Parikh P.","Methods Inf Med. 2015;54(6):560-7. doi: 10.3414/ME14-02-0017. Epub 2015 Nov 9.","Methods Inf Med.  2015","PubMed","citation","PMID:26548400","pubmed","26548400","create date:2015/11/10 | first author:Zhu K",
"A novel biomarker of amnestic MCI based on dynamic cross-frequency coupling patterns during cognitive brain responses.","/pubmed/26539070","Dimitriadis SI, Laskaris NA, Bitzidou MP, Tarnanas I, Tsolaki MN.","Front Neurosci. 2015 Oct 20;9:350. doi: 10.3389/fnins.2015.00350. eCollection 2015.","Front Neurosci.  2015","PubMed","citation","PMID:26539070 | PMCID:PMC4611062","pubmed","26539070","create date:2015/11/06 | first author:Dimitriadis SI",
"Sparse SPM: Group Sparse-dictionary learning in SPM framework for resting-state functional connectivity MRI analysis.","/pubmed/26524138","Lee YB, Lee J, Tak S, Lee K, Na DL, Seo SW, Jeong Y, Ye JC; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage. 2016 Jan 15;125:1032-1045. doi: 10.1016/j.neuroimage.2015.10.081. Epub 2015 Oct 31.","Neuroimage.  2016","PubMed","citation","PMID:26524138","pubmed","26524138","create date:2015/11/03 | first author:Lee YB",
"Linguistic Features Identify Alzheimer's Disease in Narrative Speech.","/pubmed/26484921","Fraser KC, Meltzer JA, Rudzicz F.","J Alzheimers Dis. 2016;49(2):407-22. doi: 10.3233/JAD-150520.","J Alzheimers Dis.  2016","PubMed","citation","PMID:26484921","pubmed","26484921","create date:2015/10/21 | first author:Fraser KC",
"The Vallecas Project: A Cohort to Identify Early Markers and Mechanisms of Alzheimer's Disease.","/pubmed/26483681","Olazarán J, Valentí M, Frades B, Zea-Sevilla MA, Ávila-Villanueva M, Fernández-Blázquez MÁ, Calero M, Dobato JL, Hernández-Tamames JA, León-Salas B, Agüera-Ortiz L, López-Álvarez J, Larrañaga P, Bielza C, Álvarez-Linera J, Martínez-Martín P.","Front Aging Neurosci. 2015 Sep 30;7:181. doi: 10.3389/fnagi.2015.00181. eCollection 2015.","Front Aging Neurosci.  2015","PubMed","citation","PMID:26483681 | PMCID:PMC4588692","pubmed","26483681","create date:2015/10/21 | first author:Olazarán J",
"Matched signal detection on graphs: Theory and application to brain imaging data classification.","/pubmed/26481679","Hu C, Sepulcre J, Johnson KA, Fakhri GE, Lu YM, Li Q.","Neuroimage. 2016 Jan 15;125:587-600. doi: 10.1016/j.neuroimage.2015.10.026. Epub 2015 Oct 19.","Neuroimage.  2016","PubMed","citation","PMID:26481679","pubmed","26481679","create date:2015/10/21 | first author:Hu C",
"Graph-guided joint prediction of class label and clinical scores for the Alzheimer's disease.","/pubmed/26476928","Yu G, Liu Y, Shen D.","Brain Struct Funct. 2016 Sep;221(7):3787-801. doi: 10.1007/s00429-015-1132-6. Epub 2015 Oct 17.","Brain Struct Funct.  2016","PubMed","citation","PMID:26476928 | PMCID:PMC4834286","pubmed","26476928","create date:2015/10/20 | first author:Yu G",
"Antemortem Prediction of Braak Stage.","/pubmed/26469248","Carlson JO, Gatz M, Pedersen NL, Graff C, Nennesmo I, Lindström AK, Gerritsen L.","J Neuropathol Exp Neurol. 2015 Nov;74(11):1061-70. doi: 10.1097/NEN.0000000000000251.","J Neuropathol Exp Neurol.  2015","PubMed","citation","PMID:26469248 | PMCID:PMC4610255","pubmed","26469248","create date:2015/10/16 | first author:Carlson JO",
"A multicenter study of the early detection of synaptic dysfunction in Mild Cognitive Impairment using Magnetoencephalography-derived functional connectivity.","/pubmed/26448910","Maestú F, Peña JM, Garcés P, González S, Bajo R, Bagic A, Cuesta P, Funke M, Mäkelä JP, Menasalvas E, Nakamura A, Parkkonen L, López ME, Del Pozo F, Sudre G, Zamrini E, Pekkonen E, Henson RN, Becker JT; Magnetoencephalography International Consortium of Alzheimer's Disease..","Neuroimage Clin. 2015 Aug 1;9:103-9. doi: 10.1016/j.nicl.2015.07.011. eCollection 2015.","Neuroimage Clin.  2015","PubMed","citation","PMID:26448910 | PMCID:PMC4552812","pubmed","26448910","create date:2015/10/09 | first author:Maestú F",
"Novel Cortical Thickness Pattern for Accurate Detection of Alzheimer's Disease.","/pubmed/26444768","Zheng W, Yao Z, Hu B, Gao X, Cai H, Moore P.","J Alzheimers Dis. 2015;48(4):995-1008. doi: 10.3233/JAD-150311.","J Alzheimers Dis.  2015","PubMed","citation","PMID:26444768","pubmed","26444768","create date:2015/10/08 | first author:Zheng W",
