PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
B	Smithies, Alisdair; Braidman, Isobel; Berlanga, Adriana; Haley, Debra; Wild, Fridolin					Wild, Fridolin/0000-0001-7344-9800	Escudeiro, P		Using Language Technologies to Support Individual Formative Feedback								PROCEEDINGS OF THE 9TH EUROPEAN CONFERENCE ON E-LEARNING, VOL 1								570	577							2010	2010						9th European Conference on e-Learning9th European Conference on e-Learning	NOV 04-05, 2010NOV 04-05, 2010		Instituto Superior Engenharia Porto, PORTUGALInstituto Superior Engenharia Porto, PORTUGAL	0	0	0	0	0	0					978-1-906638-82-5	WOS:000291089800071		
S	Momtazi, Saeedeh; Lease, Matthew; Klakow, Dietrich					Momtazi, Saeedeh/0000-0002-8110-1342	Lalmas, M; Jose, J; Rauber, A; Sebastiani, F; Frommholz, I		Effective Term Weighting for Sentence Retrieval								RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES		Lecture Notes in Computer Science		6273				482	+							2010	2010						14th European Conference on Research and Advanced Technology for Digital Libraries14th European Conference on Research and Advanced Technology for Digital Libraries	SEP 06-10, 2010SEP 06-10, 2010	DReSNet; ExLibris; YAHOO Res; Coalit Networked Informat; Univ Glasgow; GlasgowDReSNet; ExLibris; YAHOO Res; Coalit Networked Informat; Univ Glasgow; Glasgow	Glasgow, SCOTLANDGlasgow, SCOTLAND	2	0	0	0	0	2			0302-9743		978-3-642-15463-8	WOS:000286402800062		
S	Tamanini, Isabelle; Pinheiro, Placido Rogerio; Pinheiro, Mirian Caliope D.				Pinheiro, Placido/F-8581-2011; Pinheiro, Mirian/F-5390-2014	Pinheiro, Placido/0000-0002-1718-1712; Pinheiro, Mirian/0000-0003-2523-245X	Yu, J; Greco, S; Lingras, P; Wang, G; Skowron, A		The Neuropathological Diagnosis of the Alzheimer's Disease under the Consideration of Verbal Decision Analysis Methods								ROUGH SET AND KNOWLEDGE TECHNOLOGY (RSKT)		Lecture Notes in Artificial Intelligence		6401				427	432							2010	2010						5th International Conference on Rough Set and Knowledge Technology (RSKT)5th International Conference on Rough Set and Knowledge Technology (RSKT)	OCT 15-17, 2010OCT 15-17, 2010	Beijing Jiaotong Univ; Natl Nat Sci Fdn China (NSFC); Int Rough Set Soc (IRSS); Chinese Assoc Artificial Intelligence, Rough Sets & Soft Computat Soc (CRSSC)Beijing Jiaotong Univ; Natl Nat Sci Fdn China (NSFC); Int Rough Set Soc (IRSS); Chinese Assoc Artificial Intelligence, Rough Sets & Soft Computat Soc (CRSSC)	Beijing, PEOPLES R CHINABeijing, PEOPLES R CHINA	3	0	0	0	1	4			0302-9743		978-3-642-16247-3	WOS:000314802800060		
B	Broder, Andrei; Gabrilovich, Evgeniy; Josifovski, Vanja						Chen, HH; Efthimiadis, EN; Savoy, J; Crestani, F; MarchandMaillet, S		Information Retrieval Challenges in Computational Advertising								SIGIR 2010: PROCEEDINGS OF THE 33RD ANNUAL INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH DEVELOPMENT IN INFORMATION RETRIEVAL								908	908							2010	2010						33rd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval33rd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval	JUL 19-23, 2010JUL 19-23, 2010	Special Interest Grp Informat Retrieval; Assoc Comp Machinery; Baidu; Google; Microsoft Res; Yahoo; Informat Retrieval Fac; IBM Res; FNSNF, Swiss Natl Sci FdnSpecial Interest Grp Informat Retrieval; Assoc Comp Machinery; Baidu; Google; Microsoft Res; Yahoo; Informat Retrieval Fac; IBM Res; FNSNF, Swiss Natl Sci Fdn	Geneva, SWITZERLANDGeneva, SWITZERLAND	1	0	0	0	0	1					978-1-60558-896-4	WOS:000286904100202		
J	Hinrichs, Chris; Singh, Vikas; Mukherjee, Lopamudra; Xu, Guofan; Chung, Moo K.; Johnson, Sterling C.		Alzheimer's Dis Neuroimaging Initi		Scharre, Douglas/E-4030-2011	Chung, Moo/0000-0003-2852-9670; Johnson, Sterling/0000-0002-8501-545X			Spatially augmented LPboosting for AD classification with evaluations on the ADNI dataset								NEUROIMAGE				48	1			138	149		10.1016/j.neuroimage.2009.05.056					OCT 15 2009	2009										95	0	1	45	0	95			1053-8119	1095-9572		WOS:000269321100017	19481161	
J	Milewski, Adam; Sultan, Mohamed; Jayaprakash, Swaroop Markondiah; Balekai, Rajesh; Becker, Richard				Becker, Richard/A-9120-2010; Milewski, Adam/C-7824-2011	Becker, Richard/0000-0003-2514-2040; Milewski, Adam/0000-0003-0494-8002			RESDEM, a tool for integrating temporal remote sensing data for use in hydrogeologic investigations								COMPUTERS & GEOSCIENCES				35	10			2001	2010		10.1016/j.cageo.2009.02.010					OCT 2009	2009										12	0	0	3	0	12			0098-3004			WOS:000271368500006		
J	Younis, Ossama; Kant, Latha; Chang, Kirk; Young, Kenneth; Graff, Charles								Cognitive MANET Design for Mission-Critical Networks								IEEE COMMUNICATIONS MAGAZINE				47	10			64	71		10.1109/MCOM.2009.5273810					OCT 2009	2009										17	2	0	0	0	19			0163-6804			WOS:000270548300008		
J	Gerardin, Emilie; Chetelat, Gael; Chupin, Marie; Cuingnet, Remi; Desgranges, Beatrice; Kim, Ho-Sung; Niethammer, Marc; Dubois, Bruno; Lehericy, Stephane; Garnero, Line; Eustache, Francis; Colliot, Olivier		Alzheimer's Dis Neuroimaging Initi		Desgranges, Beatrice/L-7739-2015; Eustache, Francis/J-9465-2015; Chetelat, Gael/G-2316-2015	Eustache, Francis/0000-0003-4460-8686; 			Multidimensional classification of hippocampal shape features discriminates Alzheimer's disease and mild cognitive impairment from normal aging								NEUROIMAGE				47	4			1476	1486		10.1016/j.neuroimage.2009.05.036					OCT 1 2009	2009										203	2	0	99	2	205			1053-8119	1095-9572		WOS:000269035100037	19463957	
J	Gomez, Leticia; Haesevoets, Sophie; Kuijpers, Bart; Vaisman, Alejandro A.								Spatial aggregation: Data model and implementation								INFORMATION SYSTEMS				34	6			551	576		10.1016/j.is.2009.03.002					SEP 2009	2009										15	1	0	0	0	16			0306-4379	1873-6076		WOS:000267270500005		
J	Davatzikos, Christos; Xu, Feng; An, Yang; Fan, Yong; Resnick, Susan M.				Scharre, Douglas/E-4030-2011	Davatzikos, Christos/0000-0002-1025-8561; Fan, Yong/0000-0001-9869-4685			Longitudinal progression of Alzheimers-like patterns of atrophy in normal older adults: the SPARE-AD index								BRAIN				132				2026	2035		10.1093/brain/awp091					AUG 2009	2009										132	1	0	95	2	134			0006-8950	1460-2156		WOS:000268330500004	19416949	
J	Apostolova, Liana G.; Green, Amity E.; Hwang, Kristy S.; Morra, Jonathan H.; Cummings, Jeffrey L.; Toga, Arthur W.; Jack, Clifford R.; Weiner, Michael; Thompson, Paul M.								Mapping Correlations between Serum Abeta and tau and Hippocampal Atrophy Measures in 282 ADNI Subjects								NEUROLOGY				72	11			A93	A93							MAR 17 2009	2009						61st Annual Meeting of American-Academy-of-Neurology61st Annual Meeting of American-Academy-of-Neurology	APR 28-29, 2009APR 28-29, 2009	Amer Acad NeurolAmer Acad Neurol	Seattle, WASeattle, WA	0	0	0	0	0	0			0028-3878			WOS:000264527900389		
J	Misra, Chandan; Fan, Yong; Davatzikos, Christos				Scharre, Douglas/E-4030-2011	Fan, Yong/0000-0001-9869-4685; Davatzikos, Christos/0000-0002-1025-8561			Baseline and longitudinal patterns of brain atrophy in MCI patients, and their use in prediction of short-term conversion to AD: Results from ADNI								NEUROIMAGE				44	4			1415	1422		10.1016/j.neuroimage.2008.10.031					FEB 15 2009	2009										293	6	0	179	5	301			1053-8119	1095-9572		WOS:000263861800020	19027862	
S	Batmanghelich, Nematollah; Taskar, Ben; Davatzikos, Christos					Davatzikos, Christos/0000-0002-1025-8561	Prince, JL; Pham, DL; Myers, KJ		A General and Unifying Framework for Feature Construction, in Image-Based Pattern Classification								INFORMATION PROCESSING IN MEDICAL IMAGING, PROCEEDINGS		Lecture Notes in Computer Science		5636				423	+							2009	2009						21st International Conference on Information Processing in Medical Imaging21st International Conference on Information Processing in Medical Imaging	JUL 05-10, 2009JUL 05-10, 2009	Natl Inst Biomed Imaging & Biengn; Natl Canc Inst; Natl Inst Neurol Disorders & Stroke; Natl Inst Aging; Johns Hopkins UnivNatl Inst Biomed Imaging & Biengn; Natl Canc Inst; Natl Inst Neurol Disorders & Stroke; Natl Inst Aging; Johns Hopkins Univ	Coll William & Mary, Williamsburg, VAColl William & Mary, Williamsburg, VA	17	0	1	7	0	17			0302-9743		978-3-642-02497-9	WOS:000270886300035	19694282	
B	Engin, Melih; Can, Tolga			IEEE	Can, Tolga/D-1395-2010	Can, Tolga/0000-0002-5532-0154			Text Classification in the Turkish Marketing Domain for Context Sensitive Ad Distribution								2009 24TH INTERNATIONAL SYMPOSIUM ON COMPUTER AND INFORMATION SCIENCES								105	110		10.1109/ISCIS.2009.5291861					2009	2009						24th International Symposium on Computer and Information Sciences24th International Symposium on Computer and Information Sciences	SEP 14-16, 2009SEP 14-16, 2009	Middle E Tech UnivMiddle E Tech Univ	Guzelyurt, CYPRUSGuzelyurt, CYPRUS	0	0	0	0	0	0					978-1-4244-5021-3	WOS:000275024200020		
B	Ju, Suyang; Evans, Joseph B.			IEEE					Mobility-Aware Routing Protocol For Mobile Ad-Hoc Networks								2009 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATION WORKSHOPS, VOLS 1 AND 2								360	365							2009	2009						IEEE International Conference on Communications (ICC 2009)IEEE International Conference on Communications (ICC 2009)	JUN 14-18, 2009JUN 14-18, 2009	IEEEIEEE	Dresden, GERMANYDresden, GERMANY	0	0	0	0	0	0					978-1-4244-3436-7	WOS:000277052600069		
B	Qu, Xiuyun; Yuan, Bo; Liu, Wenhuang						Zhao, CL; Wu, YW; Wang, JX; Liu, QT		A Predictive Model for Identifying Possible MCI to AD Conversions in the ADNI Database								2009 SECOND INTERNATIONAL SYMPOSIUM ON KNOWLEDGE ACQUISITION AND MODELING: KAM 2009, VOL 3								102	105		10.1109/KAM.2009.36					2009	2009						2nd International Symposium on Knowledge Acquisition and Modeling2nd International Symposium on Knowledge Acquisition and Modeling	NOV 30-DEC 01, 2009NOV 30-DEC 01, 2009	Inst Elect & Electron Engn; IEEE Comp Intelligence Soc; Huazhong Normal UnivInst Elect & Electron Engn; IEEE Comp Intelligence Soc; Huazhong Normal Univ	Wuhan, PEOPLES R CHINAWuhan, PEOPLES R CHINA	3	1	0	0	0	3					978-0-7695-3888-4	WOS:000291329600025		
S	Glorio, Octavio; Trujillo, Juan						Gervasi, O; Taniar, D; Murgante, B; Lagana, A; Mun, Y; Gavrilova, ML		Designing Data Warehouses for Geographic OLAP Querying by Using MDA								COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2009, PT I		Lecture Notes in Computer Science		5592				505	519							2009	2009						International Conference on Computational Science and Its Applications (ICCSA 2009)International Conference on Computational Science and Its Applications (ICCSA 2009)	JUN 29-JUL 02, 2009JUN 29-JUL 02, 2009	Univ Perugia; Monash Univ; Univ Calgary; La Trobe Univ; Soongsil Univ; Kyung Hee UnivUniv Perugia; Monash Univ; Univ Calgary; La Trobe Univ; Soongsil Univ; Kyung Hee Univ	Seoul, SOUTH KOREASeoul, SOUTH KOREA	4	0	0	0	0	4			0302-9743		978-3-642-02453-5	WOS:000271635000036		
B	Winkler, Stephan; Auer, Stefanie; Affenzeller, Michael; Donabauer, Yvonne; Reisberg, Barry					Affenzeller, Michael/0000-0001-5692-5940	Frydman, C; Longo, F; Mekouar, K		HEURISTIC MODELING OF THE MENTAL PROGRESS OF PERSONS WITH NORMAL BRAIN AGING, SUBJECTIVE COGNITIVE IMPAIRMENT, MILD COGNITIVE IMPAIRMENT, ALZHEIMER'S DISEASE AND RELATED DEMENTIA DISORDERS								EMSS 2009: 21ST EUROPEAN MODELING AND SIMULATION SYMPOSIUM, VOL II								167	+							2009	2009						21st European Modeling and Simulation Symposium21st European Modeling and Simulation Symposium	SEP 23-25, 2009SEP 23-25, 2009	Univ Laguna, ISA & ATC; Univ Genoa, MISS DIPTEM; Liophant Simulat; Univ Calabria, M&S Ctr, Lab Enterprise Solut; UAB, UPC, MISS Spanish Ctr; IMCS; Riga Tech Univ; LSIS; Univ Perugia; ESIS; GRVA, LAMCE, UFRJUniv Laguna, ISA & ATC; Univ Genoa, MISS DIPTEM; Liophant Simulat; Univ Calabria, M&S Ctr, Lab Enterprise Solut; UAB, UPC, MISS Spanish Ctr; IMCS; Riga Tech Univ; LSIS; Univ Perugia; ESIS; GRVA, LAMCE, UFRJ	Puerto de la Cruz, SPAINPuerto de la Cruz, SPAIN	0	0	0	0	0	0					978-84-692-5415-8	WOS:000280448600027		
B	Joshi, Sandhya; Shenoy, P. Deepa; Venugopal, K. R.; Patnaik, L. M.			IEEE					Evaluation of Different Stages of Dementia Employing Neuropsychological and Machine Learning Techniques								FIRST INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING 2009 (ICAC 2009)								154	+							2009	2009						1st International Conference on Advanced Computing1st International Conference on Advanced Computing	DEC 13-15, 2009DEC 13-15, 2009		Chennai, INDIAChennai, INDIA	2	0	0	0	0	2					978-1-4244-4786-2	WOS:000290647300026		
S	Castillo-Ortega, Rita; Martin, Nicolas; Sanchez, Daniel				Sanchez Fernandez, Daniel/E-1028-2012; Marin Ruiz, Nicolas/C-2399-2012	Sanchez Fernandez, Daniel/0000-0002-6048-3994; Marin Ruiz, Nicolas/0000-0001-5604-5150	Andreasen, T; Yager, RR; Bulskov, H; Christiansen, H; Larsen, HL		Linguistic Summary-Based Query Answering on Data Cubes with Time Dimension								FLEXIBLE QUERY ANSWERING SYSTEMS: 8TH INTERNATIONAL CONFERENCE, FQAS 2009		Lecture Notes in Artificial Intelligence		5822				560	571							2009	2009						8th International Conference on Flexible Query Answering Systems8th International Conference on Flexible Query Answering Systems	OCT 26-28, 2009OCT 26-28, 2009	Iona Coll, Machine Intelligence InstIona Coll, Machine Intelligence Inst	Roskilde Univ, Dept Commun, Business & Informat Technol, Roskilde, DENMARKRoskilde Univ, Dept Commun, Business & Informat Technol, Roskilde, DENMARK	5	0	0	0	0	5			0302-9743	1611-3349	978-3-642-04956-9	WOS:000281409200048		
S	Zemankova, Maria						Rauch, J; Ras, ZW; Berka, P; Elomaa, T		Intelligent Systems: From RUR to ISMIS 2009 and beyond								FOUNDATIONS OF INTELLIGENT SYSTEMS, PROCEEDINGS		Lecture Notes in Computer Science		5722				3	4							2009	2009						18th International Symposium on Methodologies for Intelligent Systems (ISMIS 2009)18th International Symposium on Methodologies for Intelligent Systems (ISMIS 2009)	SEP 14-17, 2009SEP 14-17, 2009	Univ Econ, Fac Informat & Statist, Lab Intelligence Syst; Seznam cz a s; Ceskoslovenska Obchodni Banka a s; Czech Soc Cybernet & Informat; TOVEK spol s r o; SpringerUniv Econ, Fac Informat & Statist, Lab Intelligence Syst; Seznam cz a s; Ceskoslovenska Obchodni Banka a s; Czech Soc Cybernet & Informat; TOVEK spol s r o; Springer	Univ Econ, Prague, CZECH REPUBLICUniv Econ, Prague, CZECH REPUBLIC	0	0	0	0	0	0			0302-9743	1611-3349	978-3-642-04124-2	WOS:000270570200001		
S	Ju, Suyang; Evans, Joseph B.						Ulema, M		Spectrum-Aware Routing Protocol for Cognitive Ad-Hoc Networks								GLOBECOM 2009 - 2009 IEEE GLOBAL TELECOMMUNICATIONS CONFERENCE, VOLS 1-8		IEEE Global Telecommunications Conference (Globecom)						6049	6054							2009	2009						IEEE Global Telecommunications Conference (GLOBECOM 09)IEEE Global Telecommunications Conference (GLOBECOM 09)	NOV 30-DEC 04, 2009NOV 30-DEC 04, 2009	IEEEIEEE	Honolulu, HIHonolulu, HI	0	0	0	0	0	0			1930-529X		978-1-4244-4147-1	WOS:000280579102178		
S	Lee, Kva K.					Klinger, Don/0000-0002-8401-3719	VanHoeve, WJ; Hooker, JN		Machine Learning Framework for Classification in Medicine and Biology								INTEGRATION OF AI AND OR TECHNIQUES IN CONSTRAINT PROGRAMMING FOR COMBINATORIAL OPTIMIZATION PROBLEMS, PROCEEDINGS		Lecture Notes in Computer Science		5547				1	7							2009	2009						6th International Conference Integration of AI and OR Techniques in Constraint Programming for Combinatial Optimization Problems6th International Conference Integration of AI and OR Techniques in Constraint Programming for Combinatial Optimization Problems	MAY 27-31, 2009MAY 27-31, 2009		Pittsburgh, PAPittsburgh, PA	13	2	0	1	0	15			0302-9743		978-3-642-01928-9	WOS:000268631000001		
J	Wong, Wilson; Liu, Wei; Bennamoun, Mohammed					Bennamoun, Mohammed/0000-0002-6603-3257; Liu, Wei/0000-0002-7409-0948			A probabilistic framework for automatic term recognition								INTELLIGENT DATA ANALYSIS				13	4			499	539		10.3233/IDA-2009-0379					2009	2009										8	0	0	1	0	8			1088-467X			WOS:000269802800001		
S	Castillo-Ortega, Rita; Marin, Nicolas; Sanchez, Daniel				Sanchez Fernandez, Daniel/E-1028-2012; Marin Ruiz, Nicolas/C-2399-2012	Sanchez Fernandez, Daniel/0000-0002-6048-3994; Marin Ruiz, Nicolas/0000-0001-5604-5150	Corchado, E; Yin, H		Fuzzy Quantification-Based Linguistic Summaries in Data Cubes with Hierarchical Fuzzy Partition of Time Dimension								INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING, PROCEEDINGS		Lecture Notes in Computer Science		5788				578	585							2009	2009						10th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL 2009)10th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL 2009)	SEP 23-26, 2009SEP 23-26, 2009	Junta Castilla & Leon; Univ Burgos; Diputac Burgos; Ayuntamiento Burgos; GCI; CSA; FAE; FECJunta Castilla & Leon; Univ Burgos; Diputac Burgos; Ayuntamiento Burgos; GCI; CSA; FAE; FEC	Burgos, SPAINBurgos, SPAIN	8	0	0	0	0	8			0302-9743	1611-3349	978-3-642-04393-2	WOS:000274188700070		
J	Cano, C.; Blanco, A.; Peshkin, L.				Prieto, Ignacio/B-5361-2013				Automated Identification of Diagnosis and Co-morbidity in Clinical Records								METHODS OF INFORMATION IN MEDICINE				48	6			546	551		10.3414/ME0615					2009	2009										5	0	0	0	0	5			0026-1270	2511-705X		WOS:000273461900006	19696949	
S	Chiu, David; Agrawal, Gagan						Winslett, M		Enabling Ad Hoc Queries over Low-Level Scientific Data Sets								SCIENTIFIC AND STATISTICAL DATABASE MANAGEMENT, PROCEEDINGS		Lecture Notes in Computer Science		5566				218	236							2009	2009						21st International Conference on Scientific and Statistical Database Management21st International Conference on Scientific and Statistical Database Management	JUN 02-04, 2009JUN 02-04, 2009	LATG; Diamond Data Syst; Sun Microsyst; NOVACES; Univ New OrleansLATG; Diamond Data Syst; Sun Microsyst; NOVACES; Univ New Orleans	New Orleans, LANew Orleans, LA	4	0	0	0	0	4			0302-9743		978-3-642-02278-4	WOS:000268444900016		
S	Sridhar, Radhika; Ravindra, Padmashree; Anyanwu, Kemafor						Bernstein, A; Karger, DR; Heath, T; Feigenbaum, L; Maynard, D; Motta, E; Thirunarayan, K		RAPID: Enabling Scalable Ad-Hoc Analytics on the Semantic Web								SEMANTIC WEB - ISWC 2009, PROCEEDINGS		Lecture Notes in Computer Science		5823				715	730							2009	2009						8th International Semantic Web Conference8th International Semantic Web Conference	OCT 25-29, 2009OCT 25-29, 2009	BBN Technol; Lockheed Martin; RAYTHEON; ManTech Int Corporat; LarKC; NeOn; Clark & Parsia; Orbis; Progeny Syst; X-MEDIA; SRI; Talis; Franz Inc; VS; YAHOO LabsBBN Technol; Lockheed Martin; RAYTHEON; ManTech Int Corporat; LarKC; NeOn; Clark & Parsia; Orbis; Progeny Syst; X-MEDIA; SRI; Talis; Franz Inc; VS; YAHOO Labs	Chantilly, VAChantilly, VA	5	0	0	0	0	5			0302-9743	1611-3349	978-3-642-04929-3	WOS:000273977000045		
J	Yu, Hong; Cao, Yong-Gang								Automatically extracting information needs from Ad Hoc clinical questions.								AMIA ... Annual Symposium proceedings. AMIA Symposium								96	100							2008 Nov 06	2008										17	0	0	7	0	17				1942-597X		MEDLINE:18999100	18999100	
J	Rogers, Patrick; Erdal, Selnur; Santangelo, Jennifer; Liu, Jianhua; Schuster, Dara; Kamal, Jyoti								Use of synthesized data to support complex ad-hoc queries in an enterprise information warehouse: a diabetes use case.								AMIA ... Annual Symposium proceedings. AMIA Symposium								1029	1029							2008 Nov 06	2008										0	0	0	0	0	0				1942-597X		MEDLINE:18999014	18999014	
J	Ciccarese, Paolo; Wu, Elizabeth; Wong, Gwen; Ocana, Marco; Kinoshita, June; Ruttenberg, Alan; Clark, Tim					Clark, Timothy/0000-0003-4060-7360; Ruttenberg, Alan/0000-0002-1604-3078; Ciccarese, Paolo/0000-0002-5156-2703			The SWAN biomedical discourse ontology								JOURNAL OF BIOMEDICAL INFORMATICS				41	5	SI		739	751		10.1016/j.jbi.2008.04.010					OCT 2008	2008										62	1	0	23	0	63			1532-0464	1532-0480		WOS:000260137300007	18583197	
J	Davatzikos, C.; Resnick, S. M.; Wu, X.; Parmpi, P.; Clark, C. M.					Davatzikos, Christos/0000-0002-1025-8561			Individual patient diagnosis of AD and FTD via high-dimensional pattern classification of MRI								NEUROIMAGE				41	4			1220	1227		10.1016/j.neuroimage.2008.03.050					JUL 15 2008	2008										140	3	0	84	3	145			1053-8119	1095-9572		WOS:000256620400006	18474436	
J	Fan, Yong; Resnick, Susan M.; Wu, Xiaoying; Davatzikos, Christos					Davatzikos, Christos/0000-0002-1025-8561; Fan, Yong/0000-0001-9869-4685			Structural and functional biomarkers of prodromal Alzheimer's disease: A high-dimensional pattern classification study								NEUROIMAGE				41	2			277	285		10.1016/j.neuroimage.2008.02.043					JUN 2008	2008										190	6	0	116	0	196			1053-8119	1095-9572		WOS:000256271100011	18400519	
J	Perry, M.; Draskovic, I.; van Achterberg, T.; Borm, G. F.; van Eijken, M. I. J.; Lucassen, P. L.; Vernooij-Dassen, M. J. F. J.; Rikkert, Mgm Olde				Vernooij-Dassen, M.J.F.J./H-8107-2014; Olde Rikkert, Marcel/D-9773-2012; Achterberg, M./H-8006-2014; Olde Rikkert, M.G.M./H-8078-2014	Olde Rikkert, M.G.M./0000-0003-1397-1677			Can an EASY care based dementia training programme improve diagnostic assessment and management of dementia by general practitioners and primary care nurses? The design of a randomised controlled trial								BMC HEALTH SERVICES RESEARCH				8						71	10.1186/1472-6963-8-71					APR 2 2008	2008										33	0	0	5	2	35			1472-6963			WOS:000256396200001	18384675	
J	Davatzikos, Christos; Fan, Yong; Wu, Xiaoying; Shen, Dinggang; Resnick, Susan M.					Davatzikos, Christos/0000-0002-1025-8561; Fan, Yong/0000-0001-9869-4685			Detection of prodromal Alzheimer's disease via pattern classification of magnetic resonance imaging								NEUROBIOLOGY OF AGING				29	4			514	523		10.1016/j.neurobiolaging.2006.11.010					APR 2008	2008										226	5	0	123	2	231			0197-4580			WOS:000254077200003	17174012	
J	Fan, Yong; Batmanghelich, Nematollah; Clark, Chris M.; Davatzikos, Christos		Alzheimers Dis Neuroimaging Initia		Scharre, Douglas/E-4030-2011	Davatzikos, Christos/0000-0002-1025-8561; Fan, Yong/0000-0001-9869-4685			Spatial patterns of brain atrophy in MCI patients, identified via high-dimensional pattern classification, predict subsequent cognitive decline								NEUROIMAGE				39	4			1731	1743		10.1016/j.neuroimage.2007.10.031					FEB 15 2008	2008										297	4	0	170	1	302			1053-8119	1095-9572		WOS:000253241800022	18053747	
J	Vemuri, Prashanthi; Gunter, Jeffrey L.; Senjem, Matthew L.; Whitwell, Jennifer L.; Kantarci, Kejal; Knopman, David S.; Boeve, Bradley F.; Petersen, Ronald C.; Jack, Clifford R., Jr.				Jack, Clifford/F-2508-2010; Vemuri, Prashanthi/K-7030-2012	Jack, Clifford/0000-0001-7916-622X; Senjem, Matthew/0000-0001-9308-9275			Alzheimer's disease diagnosis in individual subjects using structural MR images: Validation studies								NEUROIMAGE				39	3			1186	1197		10.1016/j.neuroimage.2007.09.073					FEB 1 2008	2008										263	0	0	160	1	264			1053-8119	1095-9572		WOS:000252691800026	18054253	
S	Ozgul, Fatih; Aksoy, Hakan; Bowerman, Chris					Ozgul, Fatih/0000-0001-8954-5899	Banissi, E; Stuart, L; Jern, M; Andrienko, G; Marchese, FT; Memon, N; Alhajj, R; Wyeld, TG; Burkhard, RA; Grinstein, G; Groth, D; Ursyn, A; Maple, C; Faiola, A; Craft, B		Theft gang discovery using co-offending knowledge and SNA								PROCEEDINGS OF THE 12TH INTERNATIONAL INFORMATION VISUALISATION		IEEE International Conference on Information Visualization						347	+		10.1109/IV.2008.102					2008	2008						12th International Conference Information Visualisation 200812th International Conference Information Visualisation 2008	JUL 09-11, 2008JUL 09-11, 2008	CPS; IEEE Comp SocCPS; IEEE Comp Soc	London, ENGLANDLondon, ENGLAND	1	0	0	0	0	1			1550-6037	2375-0138	978-0-7695-3268-4	WOS:000259178400054		
S	Peintner, Bart; Jarrold, William; Vergyri, Dimitra; Richey, Colleen; Tempini, Maria Luisa Gorno; Ogar, Jennifer			IEEE					Learning diagnostic models using speech and language measures								2008 30TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-8		IEEE Engineering in Medicine and Biology Society Conference Proceedings						4648	+		10.1109/IEMBS.2008.4650249					2008	2008						30th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society30th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society	AUG 20-24, 2008AUG 20-24, 2008	DEVICIX; Green Coll; Natl Inst Hlth; NIBIB; NSF; PLEXON Inc; UBC Engn Biomed Engn; Univ Washington, Coll Engn; Bentham Sci Publ Ltd; Recent Patents Biomed Engn; Recent Patents EngnDEVICIX; Green Coll; Natl Inst Hlth; NIBIB; NSF; PLEXON Inc; UBC Engn Biomed Engn; Univ Washington, Coll Engn; Bentham Sci Publ Ltd; Recent Patents Biomed Engn; Recent Patents Engn	Vancouver, CANADAVancouver, CANADA	6	0	0	1	0	6			1557-170X		978-1-4244-1814-5	WOS:000262404502358	19163752	
B	Niu, Li; Lu, Jie; Zhang, Guangquan			IEEE	Lu, Jie/S-3581-2016; Zhang, Guangquan/G-2553-2017	Lu, Jie/0000-0003-0690-4732; Zhang, Guangquan/0000-0003-3960-0583			Improved Business Intelligence Analytics on Manager's Experience								2008 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-8		IEEE Congress on Evolutionary Computation						726	730							2008	2008						IEEE Congress on Evolutionary ComputationIEEE Congress on Evolutionary Computation	JUN 01-06, 2008JUN 01-06, 2008	IEEEIEEE	Hong Kong, PEOPLES R CHINAHong Kong, PEOPLES R CHINA	0	0	0	0	0	0					978-1-4244-1822-0	WOS:000263406500109		
S	Teverovskiy, L. A.; Becker, J. T.; Lopez, O. L.; Liu, Y.			IEEE					Quantified brain asymmetry for age estimation of normal and AD/MCI subjects								2008 IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING: FROM NANO TO MACRO, VOLS 1-4		IEEE International Symposium on Biomedical Imaging						1509	+		10.1109/ISBI.2008.4541295					2008	2008						5th IEEE International Symposium on Biomedical Imaging5th IEEE International Symposium on Biomedical Imaging	MAY 14-17, 2008MAY 14-17, 2008	IEEEIEEE	Paris, FRANCEParis, FRANCE	7	1	0	1	0	8			1945-7928		978-1-4244-2002-5	WOS:000258259800379		
